SIMULATION 6: 50 xApps, 75 Parameters, 20 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x1,p6,144.92,228.53
x1,p59,164.22,373.51
x1,p12,68.16,383.84
x1,p58,82.88,155.0
x1,p2,192.3,300.76
x1,p21,161.06,355.75
x1,p67,258.85,479.58
x1,p46,120.24,230.26
x1,p8,218.93,250.87
x1,p73,147.41,319.15
x1,p20,132.71,358.57
x1,p3,107.43,404.96
x1,p71,204.2,365.62
x1,p35,93.09,167.32
x1,p37,55.77,214.57
x1,p44,55.94,153.27
x1,p25,92.1,379.4
x1,p22,184.95,342.49
x1,p14,100.05,139.94
x1,p16,166.04,244.71
x1,p66,138.32,192.03
x1,p10,182.54,219.36
x1,p50,143.03,398.85
x1,p29,103.69,287.02
x1,p31,153.93,415.95
x1,p45,100.8,257.94
x1,p70,93.64,143.67
x1,p43,215.8,408.08
x1,p33,81.29,244.82
x1,p53,197.68,275.38
x1,p11,222.61,386.49
x1,p60,17.02,298.43
x1,p69,168.12,391.84
x1,p36,162.35,256.61
x2,p9,50.48,85.73
x2,p27,66.18,287.82
x2,p38,126.7,193.76
x2,p39,271.15,526.88
x2,p60,38.51,262.59
x2,p51,31.53,304.49
x2,p34,93.11,213.87
x2,p12,223.73,245.78
x2,p53,154.87,464.87
x2,p15,120.47,266.96
x2,p72,133.47,257.68
x2,p32,82.65,147.8
x2,p75,206.85,308.73
x2,p62,23.4,367.52
x2,p19,91.47,290.9
x2,p50,229.54,302.36
x2,p14,90.13,127.87
x2,p37,40.47,215.23
x2,p66,150.54,203.56
x2,p28,159.94,228.07
x2,p69,177.8,459.7
x2,p63,217.35,387.29
x2,p17,132.59,253.7
x2,p71,94.2,349.42
x2,p1,105.58,158.69
x2,p11,81.82,240.4
x2,p44,119.0,130.84
x2,p68,117.22,260.28
x2,p59,69.65,400.39
x3,p61,252.28,417.63
x3,p75,93.27,366.52
x3,p25,229.84,437.3
x3,p20,103.58,332.58
x3,p30,135.33,147.33
x3,p68,138.03,312.15
x3,p52,88.46,315.62
x3,p16,146.08,183.35
x3,p4,88.58,193.91
x3,p12,144.86,370.49
x3,p29,102.5,215.22
x3,p3,72.74,449.63
x3,p15,134.67,286.02
x3,p10,49.09,201.79
x3,p58,134.64,145.22
x3,p13,123.54,218.78
x3,p53,134.81,377.18
x3,p45,48.97,205.77
x3,p71,247.85,376.65
x3,p70,38.17,143.09
x3,p31,68.9,329.9
x3,p46,62.01,349.84
x3,p22,88.89,287.54
x3,p43,203.59,402.78
x3,p27,123.71,501.43
x4,p43,230.17,430.96
x4,p74,116.08,222.16
x4,p34,72.06,217.03
x4,p45,152.05,273.22
x4,p14,93.53,110.11
x4,p53,220.14,414.99
x4,p21,225.0,413.29
x4,p69,147.16,363.78
x4,p52,156.04,309.91
x4,p24,120.97,326.42
x4,p25,204.37,353.59
x4,p40,125.7,182.46
x4,p44,95.33,161.24
x4,p3,168.96,375.63
x4,p9,58.02,77.15
x4,p19,72.81,297.88
x4,p7,72.4,115.93
x4,p10,180.9,206.65
x4,p5,116.02,275.28
x4,p42,4.8,232.44
x4,p30,132.49,149.27
x4,p75,186.52,369.02
x4,p28,63.66,193.84
x4,p38,98.73,241.87
x4,p58,125.39,214.08
x4,p11,226.69,239.3
x4,p70,102.06,125.46
x4,p23,53.15,278.01
x4,p29,172.46,291.77
x4,p18,55.08,101.32
x4,p20,98.91,237.39
x4,p51,126.72,441.82
x4,p36,48.4,255.96
x4,p31,230.79,410.7
x4,p50,231.03,299.5
x4,p66,149.37,163.17
x4,p13,156.13,276.71
x4,p59,95.15,295.19
x5,p60,110.75,265.65
x5,p4,144.65,211.68
x5,p16,84.61,227.71
x5,p58,119.64,213.11
x5,p26,124.27,212.63
x5,p21,250.37,413.31
x5,p64,275.51,552.79
x5,p30,115.07,180.23
x5,p66,144.2,169.41
x5,p5,58.34,470.79
x5,p25,149.66,444.59
x5,p68,173.2,332.8
x5,p59,44.94,259.69
x5,p35,104.47,127.82
x5,p6,115.99,179.23
x5,p75,54.6,260.99
x5,p54,111.06,194.55
x5,p19,103.51,358.25
x5,p50,90.32,440.24
x5,p18,51.33,77.43
x5,p8,121.64,305.3
x5,p31,124.06,413.2
x5,p55,48.04,158.92
x5,p51,115.29,324.49
x5,p63,81.01,397.05
x5,p23,96.83,309.58
x5,p49,152.96,303.7
x5,p47,54.51,284.37
x5,p61,137.31,328.68
x5,p28,58.53,276.14
x5,p11,148.93,339.17
x5,p33,165.65,193.31
x5,p37,90.36,151.99
x5,p53,164.73,422.76
x5,p46,138.29,234.17
x5,p74,128.7,181.77
x5,p40,164.92,181.77
x5,p7,74.16,129.18
x5,p22,54.64,245.94
x5,p24,209.13,402.04
x5,p13,193.38,244.85
x5,p43,265.92,429.14
x5,p56,24.91,97.39
x6,p36,66.81,174.57
x6,p42,91.39,218.32
x6,p29,81.77,261.48
x6,p73,133.37,235.21
x6,p61,153.48,441.08
x6,p26,60.58,195.81
x6,p3,213.82,302.64
x6,p66,145.86,180.7
x6,p57,131.93,324.06
x6,p65,177.21,196.56
x6,p11,202.93,233.82
x6,p59,179.22,337.55
x6,p20,194.1,263.85
x6,p72,187.01,217.75
x6,p60,91.96,269.67
x6,p43,159.14,414.64
x6,p33,116.27,313.57
x6,p48,48.5,350.04
x6,p49,146.54,244.86
x6,p21,235.34,413.32
x6,p54,62.61,190.3
x6,p63,103.37,426.59
x6,p34,68.45,326.59
x6,p75,185.16,271.57
x6,p45,99.75,239.48
x6,p23,168.21,242.9
x6,p35,100.88,191.2
x6,p4,144.11,212.81
x7,p21,275.63,322.57
x7,p32,81.08,141.36
x7,p49,188.61,243.85
x7,p15,18.86,254.42
x7,p10,92.96,307.48
x7,p37,117.55,202.59
x7,p4,61.23,199.58
x7,p23,200.31,246.83
x7,p12,160.33,345.06
x7,p45,111.48,313.31
x7,p19,102.47,383.66
x7,p36,142.45,205.87
x7,p50,203.84,308.72
x7,p56,49.53,72.46
x7,p46,135.36,327.78
x7,p73,143.01,335.64
x7,p11,106.8,266.2
x7,p38,79.91,171.22
x7,p52,120.3,290.23
x7,p18,27.45,131.27
x7,p5,232.47,291.2
x7,p20,173.62,314.57
x7,p28,86.34,256.0
x7,p67,244.75,404.68
x7,p53,213.18,415.47
x7,p66,115.48,196.21
x7,p69,105.57,390.7
x7,p62,102.3,290.75
x7,p24,102.03,463.63
x7,p75,160.39,241.12
x7,p14,84.92,123.18
x7,p6,130.69,207.03
x7,p51,142.07,334.9
x7,p61,179.85,526.52
x7,p29,85.26,281.06
x7,p39,294.26,453.53
x7,p8,118.34,352.36
x7,p64,290.4,513.47
x7,p58,118.14,140.52
x7,p3,161.51,352.21
x7,p74,139.42,202.47
x7,p9,47.67,72.43
x7,p68,170.65,319.73
x8,p43,140.34,428.97
x8,p25,102.99,515.48
x8,p34,161.33,298.49
x8,p64,254.04,384.66
x8,p61,285.84,353.07
x8,p26,96.54,218.92
x8,p54,64.38,180.46
x8,p31,260.49,363.27
x8,p51,142.61,402.18
x8,p58,76.89,142.49
x8,p17,188.52,202.63
x8,p18,66.06,107.61
x8,p23,114.35,336.87
x8,p11,202.8,327.84
x8,p15,75.72,289.63
x8,p27,188.17,360.88
x8,p19,114.24,291.22
x8,p62,41.03,317.82
x8,p66,133.01,156.8
x8,p32,89.63,106.59
x8,p30,125.9,185.79
x8,p67,109.64,447.58
x8,p45,25.43,236.88
x8,p71,128.99,438.09
x8,p4,139.09,218.38
x8,p48,153.86,232.62
x8,p74,142.37,172.06
x9,p45,14.76,293.63
x9,p38,159.17,204.94
x9,p71,178.51,446.05
x9,p40,59.4,210.02
x9,p17,101.48,275.83
x9,p61,219.45,348.85
x9,p63,183.3,321.14
x9,p43,157.88,359.46
x9,p3,198.26,340.77
x9,p27,256.91,487.14
x9,p30,132.07,153.1
x9,p41,189.92,422.19
x9,p49,195.48,291.72
x9,p28,37.52,292.58
x9,p44,100.6,140.06
x9,p39,190.64,505.36
x9,p57,171.9,280.92
x9,p19,152.8,327.53
x9,p75,56.69,347.54
x9,p5,187.16,310.57
x9,p24,216.4,489.29
x9,p25,89.47,326.52
x9,p11,149.55,255.85
x9,p70,59.35,133.63
x9,p47,22.13,334.47
x9,p67,269.77,469.68
x9,p56,33.63,82.68
x9,p10,162.39,192.42
x9,p8,180.27,411.07
x9,p66,136.82,198.68
x9,p69,135.36,367.6
x9,p26,145.92,201.74
x9,p74,118.51,190.92
x9,p54,147.71,244.25
x9,p21,239.62,435.32
x9,p42,70.42,174.06
x9,p34,71.28,208.14
x9,p55,86.53,157.15
x10,p75,99.61,244.88
x10,p12,78.49,260.84
x10,p71,133.79,322.78
x10,p8,84.08,348.08
x10,p32,69.95,173.41
x10,p41,135.97,467.65
x10,p10,65.8,272.9
x10,p7,98.22,120.92
x10,p49,183.5,255.75
x10,p28,147.09,322.95
x10,p46,187.69,281.83
x10,p65,182.76,249.94
x10,p34,79.42,288.22
x10,p2,115.22,424.68
x10,p62,188.75,386.71
x10,p23,24.9,347.67
x10,p40,90.52,258.57
x10,p35,44.12,130.28
x10,p6,137.59,196.95
x10,p16,79.05,262.19
x10,p17,151.39,271.5
x10,p42,136.17,177.36
x10,p64,296.6,365.95
x10,p56,41.3,72.04
x10,p22,66.54,362.25
x10,p73,140.96,339.05
x10,p5,86.2,381.21
x10,p14,105.89,109.73
x10,p15,122.72,278.46
x10,p59,165.48,343.56
x10,p69,195.46,347.63
x10,p27,162.27,496.53
x11,p3,276.87,438.33
x11,p33,134.42,289.19
x11,p19,157.27,391.54
x11,p74,115.34,240.47
x11,p39,191.13,325.79
x11,p49,106.45,236.07
x11,p5,119.72,400.67
x11,p16,113.42,194.26
x11,p66,125.46,161.32
x11,p18,23.36,98.89
x11,p14,95.17,122.14
x11,p11,109.35,351.36
x11,p22,108.49,386.15
x11,p67,267.79,455.77
x11,p56,36.07,84.03
x11,p72,180.75,259.85
x11,p59,12.6,228.05
x11,p31,213.53,392.85
x11,p20,126.57,304.49
x11,p41,46.08,363.51
x11,p69,169.04,395.01
x11,p34,161.92,223.37
x11,p52,165.42,359.52
x11,p26,80.31,157.6
x11,p65,147.66,204.37
x11,p23,47.12,255.39
x11,p60,39.65,166.65
x11,p9,38.47,67.63
x11,p27,66.01,316.78
x11,p35,62.99,116.39
x12,p50,143.28,357.68
x12,p30,111.44,175.44
x12,p67,233.41,376.52
x12,p2,185.99,300.11
x12,p57,204.64,299.85
x12,p15,81.04,234.52
x12,p29,144.66,226.7
x12,p44,40.76,206.13
x12,p59,164.89,271.9
x12,p27,248.15,480.26
x12,p23,18.82,368.69
x12,p48,90.18,293.93
x12,p18,25.81,122.9
