SIMULATION 3: 15 xApps, 20 Parameters, 8 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x1,p5,68.42,271.22
x1,p13,180.54,306.87
x1,p16,38.99,443.4
x1,p14,137.33,282.41
x1,p3,64.02,291.8
x1,p12,89.11,200.47
x1,p1,105.38,221.91
x1,p19,148.34,191.17
x2,p13,154.54,258.66
x2,p2,164.36,269.52
x2,p6,90.94,214.91
x2,p17,232.44,413.63
x2,p9,146.91,395.91
x2,p11,78.61,140.68
x2,p5,157.7,206.95
x2,p20,101.98,104.19
x2,p1,140.38,155.71
x2,p8,180.61,293.29
x3,p15,136.75,276.75
x3,p19,102.77,194.24
x3,p2,145.7,389.83
x3,p12,73.81,286.3
x3,p1,139.03,185.37
x3,p5,92.27,217.88
x3,p13,184.02,280.84
x3,p14,174.85,285.12
x3,p3,42.81,283.28
x3,p18,113.0,205.57
x3,p16,122.02,395.75
x4,p19,107.78,176.83
x4,p2,103.8,313.96
x4,p9,185.91,354.16
x4,p3,66.28,423.42
x4,p15,99.34,352.33
x4,p8,37.9,328.44
x4,p7,52.45,179.72
x4,p10,76.66,153.85
x4,p20,96.5,124.07
x5,p10,76.67,155.59
x5,p19,123.92,205.16
x5,p20,80.0,109.18
x5,p14,175.54,242.46
x5,p5,163.61,216.56
x5,p1,109.07,199.33
x6,p1,131.51,216.58
x6,p15,69.23,329.91
x6,p5,105.9,190.96
x6,p9,217.78,355.92
x6,p8,133.46,292.41
x6,p16,140.62,405.73
x6,p10,18.71,109.8
x6,p17,137.61,496.96
x7,p17,218.33,517.18
x7,p5,124.63,257.54
x7,p14,159.81,248.64
x7,p1,102.92,161.64
x7,p10,31.66,92.63
x7,p15,206.9,249.28
x7,p20,97.1,115.01
x7,p8,119.67,252.82
x7,p6,143.84,227.14
x7,p7,63.29,157.35
x8,p5,121.23,274.14
x8,p16,91.36,375.47
x8,p1,124.47,233.69
x8,p12,131.76,264.09
x8,p4,197.29,404.58
x8,p18,112.35,176.28
x8,p8,125.69,299.02
x8,p15,187.21,259.4
x8,p3,132.97,395.39
x8,p2,211.55,304.66
x8,p7,93.52,173.11
x9,p15,188.09,242.24
x9,p17,158.69,365.5
x9,p20,71.67,130.81
x9,p6,51.28,246.75
x9,p3,96.43,307.2
x9,p7,59.97,140.46
x9,p18,135.98,200.41
x9,p13,164.09,313.96
x9,p19,99.55,164.67
x9,p1,112.72,172.6
x10,p17,125.76,509.18
