SIMULATION 7: 100 xApps, 150 Parameters, 25 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x1,p95,40.94,233.36
x1,p26,166.06,419.06
x1,p1,107.58,349.46
x1,p68,85.29,250.69
x1,p127,56.89,239.26
x1,p128,158.83,292.12
x1,p67,175.74,337.6
x1,p121,62.22,122.34
x1,p35,57.07,306.79
x1,p76,180.8,248.45
x1,p129,157.6,212.97
x1,p72,273.09,322.61
x1,p93,47.71,125.68
x1,p54,84.48,143.58
x1,p3,67.91,107.16
x1,p115,107.38,178.53
x1,p34,175.04,333.93
x1,p73,244.51,395.18
x1,p116,124.53,277.7
x1,p138,65.12,241.9
x1,p13,47.8,71.38
x1,p45,94.03,137.67
x1,p112,36.6,204.22
x1,p148,106.71,195.11
x1,p19,116.99,387.2
x1,p6,127.78,210.08
x1,p102,154.09,317.46
x1,p2,29.3,107.74
x1,p59,68.99,496.85
x1,p77,89.27,184.41
x1,p100,115.99,196.54
x1,p94,63.37,105.99
x1,p86,272.46,410.66
x1,p109,166.2,202.67
x1,p146,70.77,263.38
x1,p137,90.33,178.87
x1,p5,232.09,462.72
x1,p25,118.96,168.61
x1,p8,226.49,271.46
x1,p60,120.65,128.86
x1,p28,66.15,87.8
x1,p98,90.41,160.28
x1,p71,170.14,308.77
x1,p107,174.68,365.38
x1,p61,214.16,364.14
x1,p46,123.78,147.93
x1,p106,163.02,195.71
x1,p82,44.27,161.07
x1,p133,65.42,96.99
x1,p64,164.77,365.68
x1,p149,48.85,58.78
x1,p130,53.34,300.8
x1,p125,206.7,346.76
x1,p33,33.53,55.67
x1,p39,39.95,244.93
x1,p41,25.17,112.18
x1,p20,62.5,90.17
x1,p110,226.31,291.9
x1,p11,70.61,76.88
x1,p55,67.95,127.87
x1,p119,106.54,271.34
x1,p24,95.64,302.84
x1,p23,145.17,240.89
x1,p135,277.6,442.89
x1,p65,253.68,319.15
x1,p147,268.43,451.7
x1,p78,142.76,371.95
x1,p74,200.26,300.22
x1,p111,53.61,83.33
x1,p90,78.1,386.22
x1,p92,5.84,205.97
x1,p79,117.09,188.42
x1,p27,93.45,356.43
x1,p49,68.16,98.74
x1,p87,117.89,168.01
x1,p37,42.93,143.61
x1,p141,59.79,167.96
x1,p70,168.9,373.74
x1,p69,122.34,360.74
x1,p123,196.69,294.34
x1,p50,43.74,221.47
x2,p112,117.9,221.65
x2,p132,110.94,319.95
x2,p61,180.77,271.12
x2,p86,183.59,380.59
x2,p147,251.36,319.13
x2,p93,87.76,196.1
x2,p1,169.37,290.89
x2,p14,87.95,400.39
x2,p95,129.78,188.59
x2,p101,108.11,152.52
x2,p30,138.73,334.84
x2,p9,81.07,220.4
x2,p48,107.95,356.82
x2,p146,135.16,292.34
x2,p64,234.41,359.43
x2,p137,99.72,161.83
x2,p47,89.77,331.45
x2,p69,160.13,399.53
x2,p89,174.98,326.95
x2,p102,170.75,277.54
x2,p25,110.07,147.66
x2,p115,121.65,175.79
x2,p92,85.76,308.34
x2,p13,49.77,92.27
x2,p10,63.16,88.36
x2,p145,103.16,138.75
x2,p87,90.55,145.76
x2,p62,136.87,310.24
x2,p121,98.75,134.28
x2,p65,257.37,295.97
x2,p136,248.55,306.63
x2,p119,195.58,303.79
x2,p55,83.85,131.16
x2,p42,263.21,435.5
x2,p150,99.79,337.92
x2,p108,65.54,229.68
x2,p114,85.59,167.38
x2,p84,82.81,264.45
x2,p50,66.16,162.07
x2,p67,147.62,382.38
x2,p106,150.96,194.5
x2,p135,218.46,511.94
x2,p5,200.81,538.29
x2,p40,113.96,141.84
x2,p35,45.98,326.28
x2,p144,105.01,214.48
x2,p23,44.79,349.21
x2,p59,135.56,398.84
x2,p32,123.25,151.87
