SIMULATION 4: 20 xApps, 25 Parameters, 10 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x1,p19,202.73,286.24
x1,p9,62.59,198.32
x1,p24,182.25,264.22
x1,p23,54.91,237.2
x1,p21,39.58,158.59
x1,p7,132.79,214.22
x1,p11,71.81,87.71
x2,p16,107.35,170.19
x2,p5,101.91,457.38
x2,p11,50.18,97.44
x2,p7,109.05,232.2
x2,p6,136.04,300.75
x2,p18,116.27,220.16
x2,p9,46.67,137.54
x2,p25,61.63,192.96
x2,p24,115.0,368.71
x3,p15,177.77,355.06
x3,p3,92.7,165.9
x3,p8,140.94,259.26
x3,p6,111.72,282.23
x3,p18,163.14,235.43
x3,p4,12.95,264.56
x3,p24,194.0,308.23
x3,p2,101.83,267.8
x3,p9,55.35,143.3
x3,p22,161.88,392.63
x3,p25,39.18,148.26
x3,p5,253.69,300.7
x3,p14,97.61,382.09
x4,p7,143.1,243.66
x4,p1,195.73,354.28
x4,p16,126.69,205.68
x4,p21,50.5,163.29
x4,p22,139.48,351.46
x4,p6,150.32,222.49
x4,p15,198.77,281.99
x4,p12,24.85,61.3
x4,p14,155.25,371.73
x4,p4,94.42,221.1
x5,p7,173.61,248.25
x5,p23,87.61,175.46
x5,p11,63.73,72.72
x5,p15,127.94,290.29
x5,p8,181.41,318.61
x5,p20,75.78,112.03
x5,p10,170.14,226.29
x5,p18,151.86,188.97
x5,p13,36.53,116.81
x5,p1,185.59,383.96
x5,p6,219.47,224.72
x5,p5,172.18,370.74
x5,p12,25.57,66.85
x5,p21,32.72,223.53
x6,p15,190.4,256.03
x6,p7,162.58,265.55
x6,p13,91.46,122.53
x6,p18,121.74,241.83
x6,p2,156.54,287.07
x6,p8,172.43,251.42
x6,p16,141.44,189.99
x6,p10,123.98,229.86
x6,p24,212.06,274.2
x6,p4,60.13,197.36
x6,p21,39.61,149.49
x6,p22,63.72,387.38
x6,p25,42.22,174.62
x6,p9,83.33,134.72
x7,p5,117.91,296.68
x7,p3,97.29,154.83
x7,p25,111.61,127.24
x7,p17,47.21,151.04
x7,p11,51.65,73.39
x7,p18,118.93,169.41
x7,p6,147.31,298.82
x7,p21,21.44,155.53
x7,p12,8.21,53.9
x7,p16,135.46,179.54
x8,p7,161.44,283.3
x8,p20,13.07,95.09
x8,p4,72.18,209.41
x8,p2,177.25,251.68
x8,p22,139.87,301.01
x8,p9,89.99,146.44
x8,p3,88.32,170.14
x8,p15,123.02,368.0
x9,p6,107.68,268.41
x9,p17,123.83,160.99
x9,p4,27.33,210.39
x9,p15,187.33,248.79
x9,p12,29.65,53.09
x9,p20,48.86,95.82
x9,p2,157.24,219.12
x9,p7,136.72,260.2
x9,p16,102.0,203.24
x9,p18,84.46,234.18
x9,p14,102.85,308.55
x9,p22,145.36,391.25
x9,p23,37.41,152.41
x9,p21,74.06,253.5
x10,p19,237.58,424.43
x10,p13,43.47,133.21
x10,p9,69.93,132.61
x10,p17,80.41,169.01
x10,p25,41.22,157.75
x10,p8,161.27,265.81
x10,p4,59.55,168.89
x10,p3,104.68,172.97
x10,p5,214.41,418.08
x10,p14,69.61,285.52
x10,p24,177.13,334.33
x10,p11,55.64,76.02
x10,p10,126.7,247.55
x10,p12,28.29,61.42
x11,p7,136.95,229.68
x11,p17,81.14,187.18
x11,p2,142.09,287.15
x11,p14,127.67,314.06
x11,p25,61.88,196.76
x11,p21,111.29,186.66
x11,p11,59.56,95.97
x11,p4,72.02,149.98
x11,p6,132.76,325.21
x12,p20,62.46,96.9
x12,p12,31.69,62.36
x12,p16,116.15,153.32
x12,p25,44.66,177.75
x12,p22,80.36,295.47
x12,p13,72.19,107.18
x12,p5,75.72,309.89
x12,p11,66.16,77.49
x12,p21,50.24,166.23
x13,p5,189.77,450.7
x13,p15,171.48,280.27
x13,p4,22.58,234.76
x13,p10,94.46,250.2
x13,p14,246.17,276.02
x13,p6,179.6,287.43
x13,p25,119.07,213.67
x13,p18,101.32,206.32
x14,p21,130.33,182.17
x14,p12,19.52,43.02
x14,p8,103.54,265.88
x14,p7,118.4,236.22
x14,p5,210.99,293.56
x14,p18,67.63,252.29
x14,p10,167.36,201.79
x14,p3,125.73,168.09
x14,p9,63.75,171.11
x15,p14,79.69,416.09
x15,p18,75.63,193.41
x15,p8,118.42,291.17
x15,p5,142.98,312.7
x15,p25,99.63,148.2
x15,p9,117.49,210.2
x15,p2,92.82,271.61
x15,p12,26.73,66.67
x15,p1,76.69,348.58
x15,p15,53.6,252.91
x15,p21,133.06,224.98
x16,p5,187.92,383.63
x16,p22,186.01,325.22
x16,p11,61.34,89.06
x16,p24,161.99,337.96
x16,p12,4.83,56.58
x16,p25,122.93,180.78
x16,p10,170.66,249.63
x16,p4,72.87,240.3
x16,p19,86.08,424.68
x16,p14,120.22,357.4
x16,p23,29.88,255.43
x17,p16,126.53,154.11
x17,p21,131.76,224.62
x17,p18,139.88,194.68
x17,p25,114.63,156.13
x17,p19,206.58,383.58
x17,p23,44.96,233.71
x17,p22,74.63,227.69
x18,p7,115.12,242.43
x18,p22,97.55,230.48
x18,p5,168.91,355.16
x18,p9,58.4,143.18
x18,p13,33.21,176.47
x18,p19,220.09,450.53
x18,p4,82.73,240.04
x18,p18,139.69,257.65
x18,p12,36.46,47.89
x18,p8,125.7,337.49
x18,p2,163.93,253.11
x18,p25,123.42,176.55
x18,p17,108.74,210.46
x18,p10,162.7,252.87
x19,p11,58.83,84.47
x19,p17,98.89,203.41
x19,p22,80.04,358.02
x19,p4,27.7,204.02
x19,p10,137.53,217.4
x19,p13,27.35,126.51
x19,p2,99.85,237.98
x19,p20,23.71,168.49
x19,p19,230.1,431.65
x19,p3,119.17,162.6
x20,p4,126.94,252.76
x20,p1,255.98,491.97
x20,p13,31.24,147.49
x20,p2,117.25,264.17
x20,p6,195.22,304.18
x20,p3,108.29,156.39
x20,p20,26.54,130.52
x20,p16,103.93,159.36
x20,p10,160.93,216.23
x20,p7,135.83,232.07
x20,p22,194.31,325.96
x20,p21,67.85,246.53
x20,p14,70.63,375.47

PARAMETER-KPI INFLUENCE RANGES
parameter,p_range_min,p_range_max,kpi,k_min,k_max
p1,104.41,439.75,k6,4.780744552621058,76.37046780141095
p1,227.1,287.36,k2,19.33735153811253,105.0486235902454
p1,252.11,417.18,k10,34.38545442762993,76.93439290596787
p1,269.7,447.69,k4,14.904026430781508,41.8273934852286
p1,159.88,459.67,k7,16.16754475028851,55.15231105253234
p1,162.47,401.58,k8,4.248593829933106,57.103299577540284
p2,104.6,275.06,k8,4.248593829933106,57.103299577540284
p2,141.18,215.51,k4,14.904026430781508,41.8273934852286
p2,155.57,218.3,k5,7.379502733248977,46.85946386750356
p3,130.14,153.62,k8,4.248593829933106,57.103299577540284
p3,95.84,142.56,k6,4.780744552621058,76.37046780141095
p3,109.43,145.97,k4,14.904026430781508,41.8273934852286
p3,89.71,164.66,k5,7.379502733248977,46.85946386750356
p3,93.01,144.82,k1,44.81940349929669,180.42631585689585
p3,97.39,174.47,k2,19.33735153811253,105.0486235902454
p4,51.13,260.99,k6,4.780744552621058,76.37046780141095
p4,72.9,193.5,k1,44.81940349929669,180.42631585689585
p4,17.85,163.28,k10,34.38545442762993,76.93439290596787
p5,168.34,374.55,k4,14.904026430781508,41.8273934852286
p5,155.01,405.91,k10,34.38545442762993,76.93439290596787
p5,234.62,342.89,k9,41.65903095685432,72.48075107649487
p5,78.67,291.83,k2,19.33735153811253,105.0486235902454
p5,72.11,370.92,k3,1.8756487197037985,109.20787522051685
p5,183.42,430.09,k8,4.248593829933106,57.103299577540284
p6,206.92,353.78,k1,44.81940349929669,180.42631585689585
p6,168.47,338.31,k4,14.904026430781508,41.8273934852286
p6,175.91,223.56,k6,4.780744552621058,76.37046780141095
p6,125.96,234.34,k3,1.8756487197037985,109.20787522051685
p6,186.12,225.92,k8,4.248593829933106,57.103299577540284
p7,101.48,209.41,k4,14.904026430781508,41.8273934852286
p7,142.34,297.51,k10,34.38545442762993,76.93439290596787
p7,170.79,211.98,k1,44.81940349929669,180.42631585689585
p7,176.14,224.24,k8,4.248593829933106,57.103299577540284
p7,95.59,208.01,k2,19.33735153811253,105.0486235902454
p7,185.11,277.23,k6,4.780744552621058,76.37046780141095
p8,177.97,312.99,k6,4.780744552621058,76.37046780141095
p8,91.98,313.71,k5,7.379502733248977,46.85946386750356
p8,87.04,260.83,k10,34.38545442762993,76.93439290596787
p8,213.14,360.71,k4,14.904026430781508,41.8273934852286
p8,109.66,373.59,k8,4.248593829933106,57.103299577540284
p8,178.54,305.33,k3,1.8756487197037985,109.20787522051685
p9,131.05,176.02,k3,1.8756487197037985,109.20787522051685
p9,61.74,175.95,k6,4.780744552621058,76.37046780141095
p9,95.47,202.04,k10,34.38545442762993,76.93439290596787
p9,117.65,198.56,k1,44.81940349929669,180.42631585689585
p9,85.93,133.15,k7,16.16754475028851,55.15231105253234
p10,170.43,237.84,k1,44.81940349929669,180.42631585689585
p10,145.13,210.75,k10,34.38545442762993,76.93439290596787
p10,106.12,252.26,k9,41.65903095685432,72.48075107649487
p11,65.07,79.26,k8,4.248593829933106,57.103299577540284
p11,54.35,97.22,k5,7.379502733248977,46.85946386750356
p11,71.0,82.26,k2,19.33735153811253,105.0486235902454
p11,54.38,77.18,k7,16.16754475028851,55.15231105253234
